ReviewID,ProductID,ProductName,CustomerID,ReviewDate,Rating,ReviewTitle,ReviewComment
R0001,P007,Smartphone Charger,C025,2024-05-25 17:43:20.275960,2,Average,Terrible experience.
R0002,P020,External SSD,C095,2025-02-19 17:43:20.275979,1,Poor,Terrible experience.
R0003,P015,Laptop Stand,C054,2025-04-05 17:43:20.275982,4,Excellent,Not what I expected.
R0004,P011,Wireless Mouse,C058,2024-11-28 17:43:20.275985,3,Excellent,Works as expected.
R0005,P008,Laser Printer,C067,2024-12-13 17:43:20.275987,4,Good,Exceeded expectations!
R0006,P007,Bluetooth Speaker,C046,2024-12-24 17:43:20.275989,4,Poor,Works as expected.
R0007,P019,Portable Projector,C024,2025-02-05 17:43:20.275992,2,Average,Exceeded expectations!
R0008,P011,E-reader,C032,2025-02-24 17:43:20.275995,3,Excellent,Not what I expected.
R0009,P011,External SSD,C047,2024-05-06 17:43:20.276004,4,Average,Not what I expected.
R0010,P004,VR Headset,C086,2024-07-12 17:43:20.276007,1,Excellent,Terrible experience.
R0011,P008,Fitness Tracker,C023,2025-03-04 17:43:20.276010,1,Excellent,Works as expected.
R0012,P003,Fitness Tracker,C066,2024-06-19 17:43:20.276012,5,Excellent,Terrible experience.
R0013,P002,VR Headset,C027,2024-09-13 17:43:20.276014,3,Poor,Works as expected.
R0014,P012,Portable Projector,C002,2025-04-01 17:43:20.276016,3,Very Good,Terrible experience.
R0015,P006,Webcam,C090,2025-04-02 17:43:20.276017,5,Average,It's okay for the price.
R0016,P002,Gaming Keyboard,C017,2025-03-01 17:43:20.276019,4,Poor,It's okay for the price.
R0017,P001,HD Monitor,C033,2024-12-27 17:43:20.276021,3,Poor,It's okay for the price.
R0018,P012,Fitness Tracker,C009,2024-12-19 17:43:20.276023,1,Poor,It's okay for the price.
R0019,P012,Laptop Stand,C043,2024-08-02 17:43:20.276025,1,Poor,Exceeded expectations!
R0020,P017,Fitness Tracker,C048,2024-06-13 17:43:20.276027,2,Poor,It's okay for the price.
R0021,P010,Fitness Tracker,C039,2025-04-04 17:43:20.276029,3,Good,Not what I expected.
R0022,P016,Fitness Tracker,C093,2024-07-04 17:43:20.276031,4,Average,Not what I expected.
R0023,P015,Gaming Keyboard,C042,2025-01-06 17:43:20.276033,5,Poor,Exceeded expectations!
R0024,P015,Gaming Keyboard,C026,2024-05-20 17:43:20.276035,5,Average,It's okay for the price.
R0025,P019,Laptop Stand,C099,2024-04-23 17:43:20.276037,4,Good,It's okay for the price.
R0026,P012,Wireless Mouse,C050,2024-07-12 17:43:20.276039,2,Good,It's okay for the price.
R0027,P020,Wireless Mouse,C025,2024-09-15 17:43:20.276044,5,Average,Terrible experience.
R0028,P003,Laser Printer,C024,2024-12-26 17:43:20.276046,3,Excellent,Works as expected.
R0029,P005,Gaming Keyboard,C013,2024-08-31 17:43:20.276048,2,Very Good,Terrible experience.
R0030,P019,Portable Projector,C060,2024-06-20 17:43:20.276050,3,Excellent,Works as expected.
R0031,P007,Noise Cancelling Headphones,C007,2024-11-26 17:43:20.276052,1,Excellent,It's okay for the price.
R0032,P009,USB-C Hub,C057,2025-04-14 17:43:20.276054,2,Excellent,It's okay for the price.
R0033,P007,Smartwatch,C036,2025-01-26 17:43:20.276056,5,Poor,Terrible experience.
R0034,P018,Fitness Tracker,C045,2024-04-25 17:43:20.276058,2,Good,Terrible experience.
R0035,P004,Noise Cancelling Headphones,C020,2024-09-13 17:43:20.276060,2,Excellent,Works as expected.
R0036,P014,Laptop Stand,C065,2024-10-25 17:43:20.276062,2,Good,Not what I expected.
R0037,P018,VR Headset,C008,2024-11-26 17:43:20.276063,2,Average,Works as expected.
R0038,P009,Gaming Keyboard,C016,2025-01-28 17:43:20.276065,3,Very Good,Terrible experience.
R0039,P002,Noise Cancelling Headphones,C014,2024-12-28 17:43:20.276067,1,Average,Terrible experience.
R0040,P020,Smartwatch,C076,2024-10-27 17:43:20.276069,4,Average,Exceeded expectations!
R0041,P015,Action Camera,C087,2025-02-24 17:43:20.276071,2,Poor,Terrible experience.
R0042,P007,Action Camera,C015,2025-03-01 17:43:20.276073,5,Very Good,Exceeded expectations!
R0043,P012,Wireless Mouse,C092,2024-10-05 17:43:20.276075,2,Average,Not what I expected.
R0044,P008,External SSD,C098,2025-02-27 17:43:20.276077,5,Average,Works as expected.
R0045,P015,Noise Cancelling Headphones,C066,2024-10-16 17:43:20.276078,3,Very Good,Works as expected.
R0046,P003,Action Camera,C032,2024-10-23 17:43:20.276080,5,Very Good,Exceeded expectations!
R0047,P014,HD Monitor,C087,2024-06-12 17:43:20.276082,4,Average,Works as expected.
R0048,P017,VR Headset,C063,2024-12-03 17:43:20.276084,1,Very Good,Terrible experience.
R0049,P004,USB-C Hub,C086,2025-03-26 17:43:20.276086,5,Average,It's okay for the price.
R0050,P018,Laser Printer,C051,2024-08-25 17:43:20.276099,5,Average,Exceeded expectations!
R0051,P008,HD Monitor,C025,2024-07-17 17:43:20.276101,1,Poor,Works as expected.
R0052,P004,Laser Printer,C058,2025-02-13 17:43:20.276103,4,Excellent,Exceeded expectations!
R0053,P002,VR Headset,C063,2024-10-06 17:43:20.276105,2,Average,Exceeded expectations!
R0054,P006,Webcam,C062,2025-03-08 17:43:20.276107,5,Good,It's okay for the price.
R0055,P010,VR Headset,C022,2024-07-09 17:43:20.276109,1,Excellent,Terrible experience.
R0056,P004,External SSD,C058,2024-11-18 17:43:20.276111,3,Excellent,Exceeded expectations!
R0057,P018,Wireless Mouse,C058,2024-05-31 17:43:20.276113,1,Excellent,Works as expected.
R0058,P012,Smartphone Charger,C086,2024-06-05 17:43:20.276115,3,Poor,Not what I expected.
R0059,P002,Webcam,C049,2024-10-14 17:43:20.276117,4,Average,Exceeded expectations!
R0060,P010,Streaming Stick,C052,2024-06-26 17:43:20.276119,2,Poor,Exceeded expectations!
R0061,P004,Smartphone Charger,C042,2025-01-09 17:43:20.276121,1,Average,It's okay for the price.
R0062,P014,Wireless Mouse,C070,2024-04-22 17:43:20.276122,5,Poor,Terrible experience.
R0063,P016,Smartwatch,C015,2025-03-13 17:43:20.276124,4,Poor,Not what I expected.
R0064,P015,Streaming Stick,C054,2025-03-25 17:43:20.276126,1,Good,Works as expected.
R0065,P008,Bluetooth Speaker,C060,2024-05-14 17:43:20.276128,5,Poor,Not what I expected.
R0066,P014,HD Monitor,C097,2024-12-22 17:43:20.276130,1,Very Good,Works as expected.
R0067,P008,Webcam,C008,2024-11-20 17:43:20.276132,3,Good,Terrible experience.
R0068,P016,Action Camera,C053,2025-03-08 17:43:20.276134,1,Poor,Works as expected.
